group_code,action,winner_course_id,winner_course_name,affected_course_id,affected_course_name,details
"T661","TRANSFER_TRAINING","999036","SPPIVT T661 Control of Age Solutions, Materials, and Age Sensitive Materials (IL)","13472","SPPIVT T661 Control of Age Solutions, Materials, and Age Sensitive Materials (OL)","Transferred 512 trainings (2 conflicts deleted - employee already had winner course)"
"T661","MERGE","999036","SPPIVT T661 Control of Age Solutions, Materials, and Age Sensitive Materials (IL)","13472","SPPIVT T661 Control of Age Solutions, Materials, and Age Sensitive Materials (OL)","Merged into winner. Original: 16 positions, 514 trainings"
"T661","DELETE_COURSE","999036","SPPIVT T661 Control of Age Solutions, Materials, and Age Sensitive Materials (IL)","13472","SPPIVT T661 Control of Age Solutions, Materials, and Age Sensitive Materials (OL)","Course deleted after merge"
"T671","TRANSFER_POSITION","99965","SPPIVT T671 Space Cutter Operation (OJT)","13846","SPPIVT T671 Spacer Cutter Operation (OJT)","Transferred 2 positions (0 conflicts skipped)"
"T671","TRANSFER_TRAINING","99965","SPPIVT T671 Space Cutter Operation (OJT)","13846","SPPIVT T671 Spacer Cutter Operation (OJT)","Transferred 2 trainings (0 conflicts deleted - employee already had winner course)"
"T671","MERGE","99965","SPPIVT T671 Space Cutter Operation (OJT)","13846","SPPIVT T671 Spacer Cutter Operation (OJT)","Merged into winner. Original: 2 positions, 2 trainings"
"T671","DELETE_COURSE","99965","SPPIVT T671 Space Cutter Operation (OJT)","13846","SPPIVT T671 Spacer Cutter Operation (OJT)","Course deleted after merge"
"T671","MERGE","99965","SPPIVT T671 Space Cutter Operation (OJT)","99964","SPPIVT T671 Space Cutter Operation (Parent)","Merged into winner. Original: 0 positions, 0 trainings"
"T671","DELETE_COURSE","99965","SPPIVT T671 Space Cutter Operation (OJT)","99964","SPPIVT T671 Space Cutter Operation (Parent)","Course deleted after merge"
"T671","TRANSFER_TRAINING","99965","SPPIVT T671 Space Cutter Operation (OJT)","13853","SPPIVT T671 Spacer Cutter Operation (Parent)","Transferred 0 trainings (2 conflicts deleted - employee already had winner course)"
"T671","MERGE","99965","SPPIVT T671 Space Cutter Operation (OJT)","13853","SPPIVT T671 Spacer Cutter Operation (Parent)","Merged into winner. Original: 2 positions, 2 trainings"
"T671","DELETE_COURSE","99965","SPPIVT T671 Space Cutter Operation (OJT)","13853","SPPIVT T671 Spacer Cutter Operation (Parent)","Course deleted after merge"
"T672","TRANSFER_TRAINING","13848","SPPIVT T672 Acceptability of Electronics Assemblies (IL)","13855","SPPIVT T672 Acceptability of Electronics Assemblies (Parent)","Transferred 0 trainings (74 conflicts deleted - employee already had winner course)"
"T672","MERGE","13848","SPPIVT T672 Acceptability of Electronics Assemblies (IL)","13855","SPPIVT T672 Acceptability of Electronics Assemblies (Parent)","Merged into winner. Original: 1 positions, 74 trainings"
"T672","DELETE_COURSE","13848","SPPIVT T672 Acceptability of Electronics Assemblies (IL)","13855","SPPIVT T672 Acceptability of Electronics Assemblies (Parent)","Course deleted after merge"
"T676","MERGE","13851","SPPIVT T676 Introduction to Circuit Card Assembly for Test Technicians","99961","SPPIVT T676 Intro to Circuit Card Assembly for Test Technicians (Parent)","Merged into winner. Original: 0 positions, 0 trainings"
"T676","DELETE_COURSE","13851","SPPIVT T676 Introduction to Circuit Card Assembly for Test Technicians","99961","SPPIVT T676 Intro to Circuit Card Assembly for Test Technicians (Parent)","Course deleted after merge"
"T676","MERGE","13851","SPPIVT T676 Introduction to Circuit Card Assembly for Test Technicians","99960","SPPIVT T676 Introduction to Circuit Card Assembly for Test Technicians (IL)","Merged into winner. Original: 0 positions, 0 trainings"
"T676","DELETE_COURSE","13851","SPPIVT T676 Introduction to Circuit Card Assembly for Test Technicians","99960","SPPIVT T676 Introduction to Circuit Card Assembly for Test Technicians (IL)","Course deleted after merge"
"T679","MERGE","999037","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (IL)","99959","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (OJT)","Merged into winner. Original: 1 positions, 0 trainings"
"T679","DELETE_COURSE","999037","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (IL)","99959","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (OJT)","Course deleted after merge"
"T679","TRANSFER_POSITION","999037","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (IL)","14071","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (IL OJT)","Transferred 5 positions (0 conflicts skipped)"
"T679","TRANSFER_TRAINING","999037","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (IL)","14071","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (IL OJT)","Transferred 5 trainings (0 conflicts deleted - employee already had winner course)"
"T679","MERGE","999037","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (IL)","14071","SPPIVT T679 Air-Vac PCBRM15 Through-hole Rework System (IL OJT)","Merged into winner. Original: 5 positions, 5 trainings"
